name	id	primary_date	secondary_dates	death	info_pieces	spelling_variants	attributes
Aaronis	1	22/Juni	NA	NA	NA	NA	abbatis	
Aaronis (2)	2	1/Juli	NA	NA	NA	NA	martiris,martirum	
Aaronis Autissiodoren	3	27/October	NA	NA	NA	NA	episcopi,episcoporum$beati,beate	
Abachuch	4	15/Januar	14/Februar	NA	NA	Habacuc	prophete	
Audifax et Abachuch (	5	19/Januar	NA	NA	NA	NA	NA	
Abbani	6	27/October	NA	NA	NA	NA	abbatis	
Abbatum Commemoratio	7	7/Januar	NA	NA	NA	NA	NA	
Abbonis Meten	8	15/April	NA	NA	NA	NA	episcopi,episcoporum	
Abbonis Floriacen	9	13/November	NA	1004	[Bazas] S.	NA	abbatis	
Abbonis Autissiodoren	10	3/December	NA	NA	NA	NA	episcopi,episcoporum	
Abdon et Sennen (Sennes) (subregulorum)	11	30/Juli	14/Februar	NA	NA	Sennen (Sennes)	martiris,martirum	
Abelis Remen. et Lobbien	12	5/August	NA	NA	NA	NA	archiepiscopi$monachi	
Ableberti (Emeberti) Cameracen. et Atrebaten. fratris Gudule	13	15/Januar	14/Februar	NA	NA	Emeberti	virginis,virginum_or_(vor_Namen)_venerabilis$episcopi,episcoporum	
Abrahami	14	15/Juni	NA	NA	NA	NA	abbatis$confessoris	
Abram, Isaac, Jacob	15	6/October	14/Februar	NA	NA	Jacobi$Isaac patr.	patriarche	
Abrunculi Treveren	16	22/April	NA	NA	NA	NA	archiepiscopi	
Abseodi	17	29/Juli	NA	NA	NA	NA	martiris,martirum$sociorum,sociis	
Abundancie	18	26/December	NA	NA	NA	NA	virginis,virginum_or_(vor_Namen)_venerabilis	
Abundi	19	27/Februar	14/Februar	NA	NA	Habundi	confessoris	
Abundi (2)	20	27/August	14/Februar	NA	NA	Habundi	martiris,martirum	
Abundi (3)	21	10/December	14/Februar	NA	NA	Habundi	diaconi$martiris,martirum	
Abundi mansionarii Petri, Rome	22	14/April	14/Februar	NA	NA	Habundi	ecclesie$sancti,sancte	
Abundi (4)	23	11/Juli	14/Februar	NA	NA	Habundi	presbyteri$martiris,martirum	
Abundi, Abundancii	24	16/September	14/Februar	NA	NA	Irenei et Abundi$Zothici, Irenei, Iacincti et Abundi$Habundi	martiris,martirum$sociorum,sociis	
Abundii Comen	25	2/April	14/Februar	NA	NA	Habundi	episcopi,episcoporum$confessoris	
Achacii	26	22/Juni	NA	NA	NA	NA	martiris,martirum$sociorum,sociis	
Acharii (Aicarii) Noviomen	27	27/November	14/Februar	NA	NA	Aicarii	episcopi,episcoporum	
Acce Hagulstaden	28	20/October	NA	NA	NA	NA	episcopi,episcoporum	
Achii et Acheoli Commemoratio	29	2/Mai	14/Februar	NA	NA	Nerei, Achillei et  Pancratii	martiris,martirum	
Achillis	30	11/Mai	NA	NA	NA	NA	martiris,martirum$sociorum,sociis	
Aciscli et Victorie	31	17/November	14/Februar	NA	NA	Victorie	martiris,martirum	
Acontii et Nonni	32	25/Juli	14/Februar	NA	NA	Nonni	martiris,martirum	
Actinee et Greciniane	33	16/Juni	14/Februar	NA	NA	Greciniane	martiris,martirum$virginis,virginum_or_(vor_Namen)_venerabilis	
ActineeAdalbaldi ducis	34	2/Februar	NA	NA	NA	NA	martiris,martirum	
Adalberonis Wirziburgen	35	6/October	NA	1090	[Passau, Lambach] A. S.	NA	episcopi,episcoporum$confessoris$beati,beate	
Adalberonis II. Metten	36	14/December	13/November$12/November	1005	[Metz]  D.$III. (+ 1072)   November 13 :  [Metz]  D. (G.:  November 12 ) .	NA	virginis,virginum_or_(vor_Namen)_venerabilis$episcopi,episcoporum	
Adalberti (Alberti) (Pragen.)	37	23/April	14/Februar	NA	NA	Adelberti	martiris,martirum$episcopi,episcoporum	
Adalberti Comen	38	3/Juni	14/Februar	NA	NA	Adelberti	episcopi,episcoporum	
Adalberti Treviren. (Egmondani)	39	25/Juni	14/Februar	NA	NA	Adelberti	confessoris	
Adalberti comitis Austrobandie	40	22/April	14/Februar	NA	NA	Adelberti	NA	
Adalberti Magdeburgen	41	20/Juni	14/Februar	NA	NA	Adelberti	virginis,virginum_or_(vor_Namen)_venerabilis$episcopi,episcoporum	
Adaldagi Bremen	42	28/April	NA	NA	NA	NA	episcopi,episcoporum	
Adalferii (Alferii) Cavensis ord. Ben	43	12/April	14/Februar	1050	[Salerno] A. S.	Alferii	abbatis$sancti,sancte	
Adalgari Bremen	44	9/Mai	NA	NA	NA	NA	episcopi,episcoporum	
Adalgisi	45	2/Juni	NA	NA	NA	NA	presbyteri$confessoris	
Adalgisi Novarien	46	7/October	NA	NA	NA	NA	episcopi,episcoporum	
Adalgoti Curien. ord. Cist	47	3/October	17/Januar	1160	[Chur] G., D.$Januar 17 :  [Clairvaux] D.	NA	episcopi,episcoporum	
Adalgoti Disertini (saec. XI)	48	1/November	NA	NA	NA	NA	abbatis	
Adalhardi Corbejen	49	9/Februar	NA	NA	NA	NA	abbatis	
Adalhardi Moguntini	50	20/April	NA	NA	NA	NA	episcopi,episcoporum	
Adalhardi Hirsaugien. ord. Bened	51	26/December	NA	NA	NA	NA	monachi$sancti,sancte	
Adalheidis	52	16/December	NA	NA	NA	NA	imperatoris,imperatricis	
Adalheidis Vilicen. ord. Bened	53	5/Februar	NA	1015	[Köln] A. S.	NA	abbatis$sancti,sancte	
Adalpreti Tridentini	54	27/März	8/März	1177	[Trient] A. S. (G.: +  März 8 ) .	NA	martiris,martirum$episcopi,episcoporum	
Adalsindis	55	25/December	NA	NA	NA	NA	virginis,virginum_or_(vor_Namen)_venerabilis	
Adami (Ade) Sabini	56	16/Mai	14/Februar	NA	NA	Ade	abbatis$confessoris$sancti,sancte	
Adamnani (Jonensis)	57	23/September	NA	NA	NA	NA	abbatis$confessoris	
Adamnani Goldinghamen	58	31/Januar	NA	NA	NA	NA	presbyteri	
Adegrini Balmen. ord. Bened	59	2/Juli	NA	NA	NA	NA	monachi$sancti,sancte	
Adelaidis monialis	60	23/Mai	NA	NA	NA	NA	virginis,virginum_or_(vor_Namen)_venerabilis	
Adelaidis vidue Lupi	61	27/Juni	NA	NA	NA	NA	sancti,sancte	
Adelaidis (Alette) matris Bernardi	62	1/September	NA	1110	[Langres, Fontaines] D.	NA	virginis,virginum_or_(vor_Namen)_venerabilis$sancti,sancte	
Adelarii	63	20/April	NA	NA	NA	NA	martiris,martirum$episcopi,episcoporum	
